n_components,famhist,chd
1,0.6666666666666666,0.7314285714285715
2,0.7088607594936708,0.9028571428571429
3,0.7594936708860759,0.9028571428571429
4,0.7672955974842767,0.9090909090909091
5,0.987012987012987,0.9142857142857144
6,0.987012987012987,0.9195402298850575
7,0.9871794871794872,1.0
8,0.9871794871794872,1.0
9,0.9935483870967742,1.0
10,0.9935483870967742,1.0
